molecule_chembl_id,canonical_smiles,bao_format,assay_type,activity_comment,pchembl_value,potential_duplicate
CHEMBL1336269,COc1ccc(NC(=O)C#Cc2ccccc2)cc1,BAO_0000019,F,Active,5.1,0
CHEMBL16312,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,BAO_0000019,F,Active,4.51,0
CHEMBL1596681,Br.CCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,BAO_0000019,F,Active,5.04,0
CHEMBL1447078,CCCC1CCC(c2ccc(OCC)cc2)=CC1=O,BAO_0000019,F,Active,4.27,0
CHEMBL1531200,Cc1nc2ccc(Nc3nc4cc(S(=O)(=O)N5CCOCC5)ccc4o3)cc2s1,BAO_0000019,F,inactive,,0
CHEMBL1457403,CCN(CC)c1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1.[Cl-],BAO_0000019,F,Active,5.32,0
CHEMBL1539913,Brc1ccc(-n2cnc(-c3ccccc3)c2)cc1,BAO_0000019,F,Active,4.45,0
CHEMBL1366588,Cl.O=C(CCS(=O)(=O)c1ccccc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,BAO_0000019,F,Active,5.68,0
CHEMBL1709001,Cc1cccn2c(O)c(C(=O)NCCCN3CC(C)CC(C)C3)c(=O)nc12,BAO_0000019,F,Active,4.83,0
CHEMBL1329507,O=c1c2ccc(Cl)cc2nc(-c2cccc(C(F)(F)F)c2)n1O,BAO_0000019,F,Active,4.96,0
CHEMBL1507547,Cc1cccc(N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)c1,BAO_0000019,F,Active,4.12,0
CHEMBL2355051,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,BAO_0000019,F,Active,4.53,0
CHEMBL1339092,I.c1ccc(Sc2cccc3ccccc23)c(CNC2=NCCN2)c1,BAO_0000019,F,Active,4.93,0
CHEMBL1574982,N#Cc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,BAO_0000019,F,Active,5.45,0
CHEMBL1558285,CCN(CC)c1ccc2nc3ccccc3[n+](CC)c2c1.[I-],BAO_0000019,F,Active,4.84,0
CHEMBL3193158,CCCCCC(=O)N1CCN(CC/N=C/C2=C(O)CC(c3ccco3)CC2=O)CC1,BAO_0000019,F,Active,5.14,0
CHEMBL1339245,COc1ccc(CNC(=O)c2c(C)oc3c2C(=O)c2ccccc2C3=O)cc1,BAO_0000019,F,Active,5.01,0
CHEMBL1585618,CN(CCOc1ccccc1)c1ccc(S(=O)(=O)N2CCCCC2)cn1,BAO_0000019,F,inactive,,0
CHEMBL1386774,O=c1c2cc(Br)ccc2nc(-c2ccc([N+](=O)[O-])cc2)n1O,BAO_0000019,F,Active,5.31,0
